iter	MultiClass
0	1.361210169
1	1.337862165
2	1.31474564
3	1.293144629
4	1.278929292
5	1.26124677
6	1.240674958
7	1.225848518
8	1.201720053
9	1.186020242
10	1.165077511
11	1.146165787
12	1.128589177
13	1.115936267
14	1.103516611
15	1.090801532
16	1.073638069
17	1.05898244
18	1.038807755
19	1.025961522
20	1.017023345
21	1.003710148
22	0.9922127656
23	0.9756326553
24	0.9628189228
25	0.9455737826
26	0.9338346121
27	0.9227578088
28	0.9075993075
29	0.8974645133
30	0.8855458107
31	0.8724150444
32	0.8592702232
33	0.8454636532
34	0.8353669933
35	0.8236309927
36	0.8143453444
37	0.8048024786
38	0.7918659862
39	0.7763407156
40	0.7680578785
41	0.7578644109
42	0.7466849409
43	0.7402838877
44	0.7309968891
45	0.7221225573
46	0.7108296643
47	0.7042804667
48	0.694552027
49	0.6862837109
50	0.6789757235
51	0.6691759114
52	0.6616171202
53	0.6524163805
54	0.646205358
55	0.6348489367
56	0.6271288951
57	0.6154711886
58	0.6076949555
59	0.596509396
60	0.589627303
61	0.582269777
62	0.5741025977
63	0.5683821239
64	0.5615752743
65	0.554637257
66	0.5429016532
67	0.5343081514
68	0.5274385785
69	0.5193966919
70	0.512058113
71	0.5042144846
72	0.4956081123
73	0.4891160652
74	0.4829884766
75	0.4760941394
76	0.4684652941
77	0.4622546777
78	0.4559317029
79	0.4501507687
80	0.4442280249
81	0.43894996
82	0.4325406646
83	0.4262304573
84	0.4184694881
85	0.4110299544
86	0.4036025609
87	0.3945710381
88	0.3886980929
89	0.3824097955
90	0.3766840226
91	0.3724842528
92	0.3674700692
93	0.3623829254
94	0.3569710413
95	0.3502485103
96	0.3461246651
97	0.3419282443
98	0.3362440363
99	0.3311561145
100	0.3264884756
101	0.3205683563
102	0.315210334
103	0.310217461
104	0.3068708824
105	0.3012826497
106	0.2967133148
107	0.2925876952
108	0.2874387417
109	0.2825860287
110	0.2786095088
111	0.2741921568
112	0.2696526308
113	0.2642561701
114	0.2608258656
115	0.2572234615
116	0.2541062427
117	0.2503915973
118	0.2470137565
119	0.243576778
120	0.2396997307
121	0.236772782
122	0.2337415546
123	0.2297918693
124	0.2257167406
125	0.2219147464
126	0.2182890661
127	0.2157094005
128	0.2133827645
129	0.2095531485
130	0.2066915434
131	0.2042070074
132	0.2017793645
133	0.1990934169
134	0.1964390649
135	0.1938546711
136	0.1917541085
137	0.1898474728
138	0.1876152524
139	0.1847751953
140	0.1829379935
141	0.180456489
142	0.1779342049
143	0.1757025876
144	0.1735317355
145	0.1713594103
146	0.1682011867
147	0.1660505453
148	0.1642812728
149	0.1621260284
150	0.1600507833
151	0.1581563156
152	0.1563027745
153	0.1543981613
154	0.1526811496
155	0.1515924647
156	0.149732072
157	0.1482460698
158	0.1467487736
159	0.1448450942
160	0.143236144
161	0.1418410608
162	0.1399029014
163	0.1386956513
164	0.1373298894
165	0.1360179105
166	0.1343805651
167	0.1329660484
168	0.1317478755
169	0.1302398243
170	0.1292856672
171	0.1281051174
172	0.1264383359
173	0.1255296701
174	0.1242426337
175	0.1233486156
176	0.1223421447
177	0.1214093619
178	0.1203443189
179	0.1192524907
180	0.1181872135
181	0.1172560833
182	0.1164137062
183	0.1151753331
184	0.1141893064
185	0.113079562
186	0.1122094763
187	0.1111232985
188	0.1100139688
189	0.1090572611
190	0.1080726759
191	0.107187962
192	0.1064701529
193	0.1054927372
194	0.1047655118
195	0.1038396607
196	0.1030732926
197	0.102185978
198	0.1015122121
199	0.1007850196
200	0.09996529038
201	0.09924685357
202	0.09844288151
203	0.09784461493
204	0.09686725272
205	0.09635079865
206	0.09565210468
207	0.09497226201
208	0.0943989853
209	0.09365225348
210	0.0929936776
211	0.09210543376
212	0.09111821517
213	0.09045791045
214	0.08997862578
215	0.08905738028
216	0.08828468
217	0.0877023158
218	0.08715425051
219	0.08664808775
220	0.08616864112
221	0.08557924847
222	0.08510149904
223	0.08455176244
224	0.08374525108
225	0.08331617189
226	0.08270004451
227	0.08201082028
228	0.08134598017
229	0.08078527569
230	0.08016345301
231	0.07970322476
232	0.07911703993
233	0.07863678616
234	0.07813097609
235	0.07764796746
236	0.07726033973
237	0.0766492208
238	0.07590063227
239	0.07542378713
240	0.07499087982
241	0.07436075018
242	0.0738815886
243	0.07341694882
244	0.07298415892
245	0.07261559428
246	0.07219270827
247	0.07178799766
248	0.07139882743
249	0.07096972195
250	0.07053391454
251	0.06997699812
252	0.06946056931
253	0.06909722046
254	0.06874124306
255	0.06843380863
256	0.0679197104
257	0.06761164651
258	0.06717365235
259	0.06660412148
260	0.0662658226
261	0.06591096969
262	0.06546752974
263	0.06510282588
264	0.06471238928
265	0.06442672951
266	0.0639682933
267	0.06340848599
268	0.06289299329
269	0.06249127544
270	0.06213085542
271	0.06183904089
272	0.06135047503
273	0.06095307486
274	0.06047056318
275	0.06015565907
276	0.05987046766
277	0.05943312543
278	0.05912012808
279	0.05888646983
280	0.05860942636
281	0.05836517128
282	0.05804340535
283	0.05775391017
284	0.05742719942
285	0.05714338324
286	0.0569047775
287	0.05662115215
288	0.05629326042
289	0.05606759219
290	0.05583117662
291	0.05550054762
292	0.05528840319
293	0.05500172031
294	0.05474975835
295	0.05442063992
296	0.0542374706
297	0.05404421762
298	0.05381092502
299	0.05352199773
300	0.0532327227
301	0.05295570093
302	0.05268382181
303	0.05244054573
304	0.05223479243
305	0.05204453993
306	0.05184760385
307	0.05168554699
308	0.05142144568
309	0.05123419994
310	0.05098397756
311	0.0507470871
312	0.0505350706
313	0.0502533047
314	0.05009266964
315	0.04993341311
316	0.04974762017
317	0.04949991699
318	0.04926432829
319	0.04908892339
320	0.04883321719
321	0.04847521714
322	0.04824609493
323	0.0479857329
324	0.04782677531
325	0.04758347524
326	0.0472899416
327	0.04706920743
328	0.04686121793
329	0.04666668254
330	0.04647807233
331	0.04624055058
332	0.04602067409
333	0.04582991567
334	0.04560216007
335	0.04540962731
336	0.04524195591
337	0.04504781227
338	0.04489134705
339	0.04471978707
340	0.04445836705
341	0.04426037247
342	0.04399327002
343	0.04381501889
344	0.04366262018
345	0.04354064733
346	0.04334112095
347	0.04316599334
348	0.04293807826
349	0.04274788696
350	0.04258382753
351	0.04239259161
352	0.04225184785
353	0.04210820296
354	0.04193177736
355	0.04176669454
356	0.04157552329
357	0.04134465852
358	0.04120891009
359	0.04106645703
360	0.04088142749
361	0.04073328845
362	0.04059029802
363	0.04043476108
364	0.0403053654
365	0.04012613392
366	0.03999887868
367	0.03982682147
368	0.03969961984
369	0.03954082907
370	0.03936228775
371	0.0392598206
372	0.0391354597
373	0.03896490614
374	0.03878175938
375	0.03865898494
376	0.03849892971
377	0.03839976614
378	0.03825166595
379	0.03812162264
380	0.03804050191
381	0.0379128918
382	0.03782110226
383	0.03768257855
384	0.03751172731
385	0.03742053676
386	0.0372663065
387	0.03712788423
388	0.0369931321
389	0.03684892256
390	0.03675160499
391	0.03664719231
392	0.03652917919
393	0.03642448057
394	0.0362922492
395	0.03612886856
396	0.03596029435
397	0.03581562662
398	0.03565393149
399	0.03552107609
400	0.03541051488
401	0.03529722174
402	0.03520562321
403	0.03506683703
404	0.03498221495
405	0.03489265674
406	0.03474886083
407	0.03458990714
408	0.03450378568
409	0.03436455567
410	0.03420988495
411	0.03409955491
412	0.03399203376
413	0.03391415004
414	0.03383108188
415	0.03371115315
416	0.03363423013
417	0.03355569497
418	0.03347097247
419	0.03339765624
420	0.03329946338
421	0.03318704348
422	0.03308593607
423	0.03298626274
424	0.03289054347
425	0.03279327767
426	0.03269598952
427	0.03260868152
428	0.03250090919
429	0.03242825731
430	0.03234922979
431	0.03222075913
432	0.03214695277
433	0.03205888425
434	0.03197961946
435	0.03187605376
436	0.03179879862
437	0.03168429074
438	0.03160833958
439	0.03152946447
440	0.03143783835
441	0.03134942002
442	0.03122405075
443	0.03111846642
444	0.03103761216
445	0.03092229951
446	0.03084911016
447	0.03076095734
448	0.03066298191
449	0.03059634547
450	0.03051934995
451	0.03045278018
452	0.0303538738
453	0.03026493684
454	0.03017434869
455	0.03009095582
456	0.03000858424
457	0.02992233036
458	0.02981955035
459	0.02971866725
460	0.02963593473
461	0.02957108787
462	0.02946252724
463	0.02938775636
464	0.02930854292
465	0.02924549303
466	0.02917054938
467	0.02908525171
468	0.02900616675
469	0.02892497347
470	0.02886729974
471	0.02879716
472	0.02870915573
473	0.02863412183
474	0.028571688
475	0.02851755829
476	0.02842460208
477	0.02837357287
478	0.02831259932
479	0.02822015164
480	0.02815834757
481	0.02808793396
482	0.02801591768
483	0.02795318407
484	0.0278900007
485	0.02778855886
486	0.02772983752
487	0.02766214849
488	0.02758394172
489	0.02752059769
490	0.02745825233
491	0.02737194863
492	0.02730381893
493	0.02722471213
494	0.02714432534
495	0.02705599997
496	0.02698721839
497	0.02692595201
498	0.02687974599
499	0.02674571491
500	0.02669335982
501	0.02661918173
502	0.02656374988
503	0.02651430276
504	0.02645131885
505	0.02638341663
506	0.02630186393
507	0.02624286387
508	0.02619360242
509	0.0261289099
510	0.02604369691
511	0.0259675753
512	0.02591073616
513	0.02584978318
514	0.02578577937
515	0.02570984773
516	0.02563576084
517	0.02555640774
518	0.02549976045
519	0.02545878483
520	0.02539057659
521	0.02532824496
522	0.02525077396
523	0.02519325797
524	0.02513325409
525	0.02507469525
526	0.02500896468
527	0.0249475028
528	0.02489800569
529	0.02485113801
530	0.02480153536
531	0.02473836699
532	0.02469831742
533	0.02462872201
534	0.02456796843
535	0.02451088966
536	0.02444318464
537	0.02437423928
538	0.02433273998
539	0.02426773196
540	0.02421771221
541	0.02418025593
542	0.02413776072
543	0.02408105826
544	0.02403018775
545	0.02397783503
546	0.02392552607
547	0.02386072023
548	0.02382452959
549	0.02377953584
550	0.02373677257
551	0.02369028298
552	0.023630467
553	0.02358172305
554	0.02353960782
555	0.02348080985
556	0.02341181242
557	0.02337491645
558	0.02332419133
559	0.02327996514
560	0.02322393208
561	0.02314347149
562	0.0231025993
563	0.02304344686
564	0.02299252519
565	0.02294621081
566	0.02288995354
567	0.02285565307
568	0.02280368536
569	0.0227568919
570	0.02272073568
571	0.02265759021
572	0.02260554135
573	0.02254597139
574	0.02248349414
575	0.02242482371
576	0.02237947614
577	0.02231812857
578	0.0222709467
579	0.02220954815
580	0.02216641759
581	0.0221173051
582	0.02205950996
583	0.02201690937
584	0.02196187271
585	0.02192163068
586	0.02186752309
587	0.02183509371
588	0.02179084988
589	0.02174120178
590	0.02170014995
591	0.02164413071
592	0.02158306756
593	0.02154147632
594	0.02149526446
595	0.02143935277
596	0.021391872
597	0.0213426553
598	0.02128048113
599	0.02123999954
600	0.02120493614
601	0.0211530489
602	0.02111256207
603	0.0210662287
604	0.02103538117
605	0.02098709529
606	0.02094421119
607	0.02090046476
608	0.02085797322
609	0.02081885086
610	0.02076648759
611	0.02073369117
612	0.02068888647
613	0.02065891817
614	0.02061685453
615	0.02058352031
616	0.02053963502
617	0.02049706412
618	0.02045278446
619	0.02040852249
620	0.02035810459
621	0.02031789188
622	0.02028249505
623	0.02024170437
624	0.02019822587
625	0.02013458845
626	0.02009164895
627	0.02005731314
628	0.02001937786
629	0.01999051447
630	0.01996273181
631	0.01993057905
632	0.01989301622
633	0.01985161606
634	0.01981035492
635	0.01976968757
636	0.01972754261
637	0.01968024356
638	0.01962658368
639	0.0195992817
640	0.01956369134
641	0.01951817833
642	0.01947196754
